model,arm,checkpoint,probe_name,layer,formal_cell_available,formal_source,formal_protocol,existing_sample_factor_path,can_reuse_existing_pt_profile,missing_per_sample_information,status
qwen,opd,80,E_ood,18,True,qwen_d4_merged_state,D4.1_current_merged_state,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
qwen,opd,80,E_if,18,True,qwen_d4_merged_state,D4.1_current_merged_state,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
qwen,sft,20,E_general,18,True,qwen_d4_merged_state,D4.1_current_merged_state,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
qwen,sft,20,E_math,18,True,qwen_d4_merged_state,D4.1_current_merged_state,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
qwen,sft,20,E_ood,18,True,qwen_d4_merged_state,D4.1_current_merged_state,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
qwen,sft,20,E_if,18,True,qwen_d4_merged_state,D4.1_current_merged_state,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
qwen,sft,40,E_general,18,True,qwen_d4_merged_state,D4.1_current_merged_state,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
qwen,sft,40,E_math,18,True,qwen_d4_merged_state,D4.1_current_merged_state,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
qwen,sft,40,E_ood,18,True,qwen_d4_merged_state,D4.1_current_merged_state,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
qwen,sft,40,E_if,18,True,qwen_d4_merged_state,D4.1_current_merged_state,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
qwen,sft,80,E_general,18,True,qwen_d4_merged_state,D4.1_current_merged_state,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
qwen,sft,80,E_math,18,True,qwen_d4_merged_state,D4.1_current_merged_state,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
qwen,sft,80,E_ood,18,True,qwen_d4_merged_state,D4.1_current_merged_state,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
qwen,sft,80,E_if,18,True,qwen_d4_merged_state,D4.1_current_merged_state,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
qwen,offkd,20,E_general,18,True,qwen_d4_merged_state,D4.1_current_merged_state,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
qwen,offkd,20,E_math,18,True,qwen_d4_merged_state,D4.1_current_merged_state,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
qwen,offkd,20,E_ood,18,True,qwen_d4_merged_state,D4.1_current_merged_state,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
qwen,offkd,20,E_if,18,True,qwen_d4_merged_state,D4.1_current_merged_state,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
qwen,offkd,40,E_general,18,True,qwen_d4_merged_state,D4.1_current_merged_state,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
qwen,offkd,40,E_math,18,True,qwen_d4_merged_state,D4.1_current_merged_state,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
qwen,offkd,40,E_ood,18,True,qwen_d4_merged_state,D4.1_current_merged_state,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
qwen,offkd,40,E_if,18,True,qwen_d4_merged_state,D4.1_current_merged_state,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
qwen,offkd,80,E_general,18,True,qwen_d4_merged_state,D4.1_current_merged_state,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
qwen,offkd,80,E_math,18,True,qwen_d4_merged_state,D4.1_current_merged_state,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
qwen,offkd,80,E_ood,18,True,qwen_d4_merged_state,D4.1_current_merged_state,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
qwen,offkd,80,E_if,18,True,qwen_d4_merged_state,D4.1_current_merged_state,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
qwen,seqkd,20,E_general,18,True,qwen_d4_merged_state,D4.1_current_merged_state,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
qwen,seqkd,20,E_math,18,True,qwen_d4_merged_state,D4.1_current_merged_state,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
qwen,seqkd,20,E_ood,18,True,qwen_d4_merged_state,D4.1_current_merged_state,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
qwen,seqkd,20,E_if,18,True,qwen_d4_merged_state,D4.1_current_merged_state,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
qwen,seqkd,40,E_general,18,True,qwen_d4_merged_state,D4.1_current_merged_state,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
qwen,seqkd,40,E_math,18,True,qwen_d4_merged_state,D4.1_current_merged_state,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
qwen,seqkd,40,E_ood,18,True,qwen_d4_merged_state,D4.1_current_merged_state,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
qwen,seqkd,40,E_if,18,True,qwen_d4_merged_state,D4.1_current_merged_state,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
qwen,seqkd,80,E_general,18,True,qwen_d4_merged_state,D4.1_current_merged_state,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
qwen,seqkd,80,E_math,18,True,qwen_d4_merged_state,D4.1_current_merged_state,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
qwen,seqkd,80,E_ood,18,True,qwen_d4_merged_state,D4.1_current_merged_state,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
qwen,seqkd,80,E_if,18,True,qwen_d4_merged_state,D4.1_current_merged_state,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
llama,opd,20,E_general,14,True,llama_d10_matched_numeric,D10_bf16_forward_fp64_eigh_svd,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
llama,opd,20,E_math,14,True,llama_d10_matched_numeric,D10_bf16_forward_fp64_eigh_svd,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
llama,opd,20,E_ood,14,True,llama_d10_matched_numeric,D10_bf16_forward_fp64_eigh_svd,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
llama,opd,20,E_if,14,True,llama_d10_matched_numeric,D10_bf16_forward_fp64_eigh_svd,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
llama,opd,40,E_general,14,True,llama_d10_matched_numeric,D10_bf16_forward_fp64_eigh_svd,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
llama,opd,40,E_math,14,True,llama_d10_matched_numeric,D10_bf16_forward_fp64_eigh_svd,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
llama,opd,40,E_ood,14,True,llama_d10_matched_numeric,D10_bf16_forward_fp64_eigh_svd,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
llama,opd,40,E_if,14,True,llama_d10_matched_numeric,D10_bf16_forward_fp64_eigh_svd,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
llama,opd,80,E_general,14,True,llama_d10_matched_numeric,D10_bf16_forward_fp64_eigh_svd,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
llama,opd,80,E_math,14,True,llama_d10_matched_numeric,D10_bf16_forward_fp64_eigh_svd,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
llama,opd,80,E_ood,14,True,llama_d10_matched_numeric,D10_bf16_forward_fp64_eigh_svd,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
llama,opd,80,E_if,14,True,llama_d10_matched_numeric,D10_bf16_forward_fp64_eigh_svd,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
llama,sft,20,E_general,14,True,llama_d10_matched_numeric,D10_bf16_forward_fp64_eigh_svd,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
llama,sft,20,E_math,14,True,llama_d10_matched_numeric,D10_bf16_forward_fp64_eigh_svd,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
llama,sft,20,E_ood,14,True,llama_d10_matched_numeric,D10_bf16_forward_fp64_eigh_svd,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
llama,sft,20,E_if,14,True,llama_d10_matched_numeric,D10_bf16_forward_fp64_eigh_svd,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
llama,sft,40,E_general,14,True,llama_d10_matched_numeric,D10_bf16_forward_fp64_eigh_svd,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
llama,sft,40,E_math,14,True,llama_d10_matched_numeric,D10_bf16_forward_fp64_eigh_svd,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
llama,sft,40,E_ood,14,True,llama_d10_matched_numeric,D10_bf16_forward_fp64_eigh_svd,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
llama,sft,40,E_if,14,True,llama_d10_matched_numeric,D10_bf16_forward_fp64_eigh_svd,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
llama,sft,80,E_general,14,True,llama_d10_matched_numeric,D10_bf16_forward_fp64_eigh_svd,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
llama,sft,80,E_math,14,True,llama_d10_matched_numeric,D10_bf16_forward_fp64_eigh_svd,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
llama,sft,80,E_ood,14,True,llama_d10_matched_numeric,D10_bf16_forward_fp64_eigh_svd,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
llama,sft,80,E_if,14,True,llama_d10_matched_numeric,D10_bf16_forward_fp64_eigh_svd,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
llama,offkd,20,E_general,14,True,llama_d10_matched_numeric,D10_bf16_forward_fp64_eigh_svd,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
llama,offkd,20,E_math,14,True,llama_d10_matched_numeric,D10_bf16_forward_fp64_eigh_svd,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
llama,offkd,20,E_ood,14,True,llama_d10_matched_numeric,D10_bf16_forward_fp64_eigh_svd,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
llama,offkd,20,E_if,14,True,llama_d10_matched_numeric,D10_bf16_forward_fp64_eigh_svd,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
llama,offkd,40,E_general,14,True,llama_d10_matched_numeric,D10_bf16_forward_fp64_eigh_svd,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
llama,offkd,40,E_math,14,True,llama_d10_matched_numeric,D10_bf16_forward_fp64_eigh_svd,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
llama,offkd,40,E_ood,14,True,llama_d10_matched_numeric,D10_bf16_forward_fp64_eigh_svd,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
llama,offkd,40,E_if,14,True,llama_d10_matched_numeric,D10_bf16_forward_fp64_eigh_svd,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
llama,offkd,80,E_general,14,True,llama_d10_matched_numeric,D10_bf16_forward_fp64_eigh_svd,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
llama,offkd,80,E_math,14,True,llama_d10_matched_numeric,D10_bf16_forward_fp64_eigh_svd,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
llama,offkd,80,E_ood,14,True,llama_d10_matched_numeric,D10_bf16_forward_fp64_eigh_svd,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
llama,offkd,80,E_if,14,True,llama_d10_matched_numeric,D10_bf16_forward_fp64_eigh_svd,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
llama,seqkd,20,E_general,14,True,llama_d10_matched_numeric,D10_bf16_forward_fp64_eigh_svd,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
llama,seqkd,20,E_math,14,True,llama_d10_matched_numeric,D10_bf16_forward_fp64_eigh_svd,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
llama,seqkd,20,E_ood,14,True,llama_d10_matched_numeric,D10_bf16_forward_fp64_eigh_svd,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
llama,seqkd,20,E_if,14,True,llama_d10_matched_numeric,D10_bf16_forward_fp64_eigh_svd,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
llama,seqkd,40,E_general,14,True,llama_d10_matched_numeric,D10_bf16_forward_fp64_eigh_svd,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
llama,seqkd,40,E_math,14,True,llama_d10_matched_numeric,D10_bf16_forward_fp64_eigh_svd,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
llama,seqkd,40,E_ood,14,True,llama_d10_matched_numeric,D10_bf16_forward_fp64_eigh_svd,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
llama,seqkd,40,E_if,14,True,llama_d10_matched_numeric,D10_bf16_forward_fp64_eigh_svd,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
llama,seqkd,80,E_general,14,True,llama_d10_matched_numeric,D10_bf16_forward_fp64_eigh_svd,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
llama,seqkd,80,E_math,14,True,llama_d10_matched_numeric,D10_bf16_forward_fp64_eigh_svd,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
llama,seqkd,80,E_ood,14,True,llama_d10_matched_numeric,D10_bf16_forward_fp64_eigh_svd,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
llama,seqkd,80,E_if,14,True,llama_d10_matched_numeric,D10_bf16_forward_fp64_eigh_svd,,False,per-sample module hidden/factor rows before Gram aggregation; centered and uncentered sample covariance inputs,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT
