model,arm,checkpoint,probe_name,task,aggregate_gram,aggregate_global_mean,per_sample_mean,per_sample_second_moment_contribution,checkpoint_weight,status,profile_path
llama,opd,20,E_if,RR3,present,present,present,not_required,present,READY_REUSE_AFTER_WEIGHTING_AUDIT_NO_FORWARD,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/opd/step_020/E_if.pt
llama,opd,40,E_general,RR1A_RR1B,present_but_insufficient,present_but_insufficient,present_but_insufficient,missing,present,NEEDS_NEW_FORWARD_PER_SAMPLE_SECOND_MOMENT,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/opd/step_040/E_general.pt
llama,opd,40,E_general,RR2S,present,not_required,not_required,not_required,present,READY_REUSE_NO_FORWARD,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/opd/step_040/E_general.pt
llama,opd,40,E_general,RR3,present,present,present,not_required,present,READY_REUSE_AFTER_WEIGHTING_AUDIT_NO_FORWARD,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/opd/step_040/E_general.pt
llama,opd,40,E_math,RR1A_RR1B,present_but_insufficient,present_but_insufficient,present_but_insufficient,missing,present,NEEDS_NEW_FORWARD_PER_SAMPLE_SECOND_MOMENT,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/opd/step_040/E_math.pt
llama,opd,40,E_math,RR2S,present,not_required,not_required,not_required,present,READY_REUSE_NO_FORWARD,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/opd/step_040/E_math.pt
llama,opd,40,E_math,RR3,present,present,present,not_required,present,READY_REUSE_AFTER_WEIGHTING_AUDIT_NO_FORWARD,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/opd/step_040/E_math.pt
llama,opd,40,E_ood,RR1A_RR1B,present_but_insufficient,present_but_insufficient,present_but_insufficient,missing,present,NEEDS_NEW_FORWARD_PER_SAMPLE_SECOND_MOMENT,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/opd/step_040/E_ood.pt
llama,opd,40,E_ood,RR2S,present,not_required,not_required,not_required,present,READY_REUSE_NO_FORWARD,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/opd/step_040/E_ood.pt
llama,opd,40,E_ood,RR3,present,present,present,not_required,present,READY_REUSE_AFTER_WEIGHTING_AUDIT_NO_FORWARD,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/opd/step_040/E_ood.pt
llama,opd,40,E_if,RR1A_RR1B,present_but_insufficient,present_but_insufficient,present_but_insufficient,missing,present,NEEDS_NEW_FORWARD_PER_SAMPLE_SECOND_MOMENT,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/opd/step_040/E_if.pt
llama,opd,40,E_if,RR2S,present,not_required,not_required,not_required,present,READY_REUSE_NO_FORWARD,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/opd/step_040/E_if.pt
llama,opd,40,E_if,RR3,present,present,present,not_required,present,READY_REUSE_AFTER_WEIGHTING_AUDIT_NO_FORWARD,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/opd/step_040/E_if.pt
llama,opd,80,E_general,RR1A_RR1B,present_but_insufficient,present_but_insufficient,present_but_insufficient,missing,present,NEEDS_NEW_FORWARD_PER_SAMPLE_SECOND_MOMENT,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/opd/step_080/E_general.pt
llama,opd,80,E_general,RR2S,present,not_required,not_required,not_required,present,READY_REUSE_NO_FORWARD,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/opd/step_080/E_general.pt
llama,opd,80,E_general,RR3,present,present,present,not_required,present,READY_REUSE_AFTER_WEIGHTING_AUDIT_NO_FORWARD,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/opd/step_080/E_general.pt
llama,opd,80,E_math,RR1A_RR1B,present_but_insufficient,present_but_insufficient,present_but_insufficient,missing,present,NEEDS_NEW_FORWARD_PER_SAMPLE_SECOND_MOMENT,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/opd/step_080/E_math.pt
llama,opd,80,E_math,RR2S,present,not_required,not_required,not_required,present,READY_REUSE_NO_FORWARD,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/opd/step_080/E_math.pt
llama,opd,80,E_math,RR3,present,present,present,not_required,present,READY_REUSE_AFTER_WEIGHTING_AUDIT_NO_FORWARD,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/opd/step_080/E_math.pt
llama,opd,80,E_ood,RR1A_RR1B,present_but_insufficient,present_but_insufficient,present_but_insufficient,missing,present,NEEDS_NEW_FORWARD_PER_SAMPLE_SECOND_MOMENT,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/opd/step_080/E_ood.pt
llama,opd,80,E_ood,RR2S,present,not_required,not_required,not_required,present,READY_REUSE_NO_FORWARD,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/opd/step_080/E_ood.pt
llama,opd,80,E_ood,RR3,present,present,present,not_required,present,READY_REUSE_AFTER_WEIGHTING_AUDIT_NO_FORWARD,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/opd/step_080/E_ood.pt
llama,opd,80,E_if,RR1A_RR1B,present_but_insufficient,present_but_insufficient,present_but_insufficient,missing,present,NEEDS_NEW_FORWARD_PER_SAMPLE_SECOND_MOMENT,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/opd/step_080/E_if.pt
llama,opd,80,E_if,RR2S,present,not_required,not_required,not_required,present,READY_REUSE_NO_FORWARD,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/opd/step_080/E_if.pt
llama,opd,80,E_if,RR3,present,present,present,not_required,present,READY_REUSE_AFTER_WEIGHTING_AUDIT_NO_FORWARD,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/opd/step_080/E_if.pt
llama,sft,20,E_general,RR1A_RR1B,present_but_insufficient,present_but_insufficient,present_but_insufficient,missing,present,NEEDS_NEW_FORWARD_PER_SAMPLE_SECOND_MOMENT,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/sft/step_020/E_general.pt
llama,sft,20,E_general,RR2S,present,not_required,not_required,not_required,present,READY_REUSE_NO_FORWARD,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/sft/step_020/E_general.pt
llama,sft,20,E_general,RR3,present,present,present,not_required,present,READY_REUSE_AFTER_WEIGHTING_AUDIT_NO_FORWARD,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/sft/step_020/E_general.pt
llama,sft,20,E_math,RR1A_RR1B,present_but_insufficient,present_but_insufficient,present_but_insufficient,missing,present,NEEDS_NEW_FORWARD_PER_SAMPLE_SECOND_MOMENT,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/sft/step_020/E_math.pt
llama,sft,20,E_math,RR2S,present,not_required,not_required,not_required,present,READY_REUSE_NO_FORWARD,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/sft/step_020/E_math.pt
llama,sft,20,E_math,RR3,present,present,present,not_required,present,READY_REUSE_AFTER_WEIGHTING_AUDIT_NO_FORWARD,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/sft/step_020/E_math.pt
llama,sft,20,E_ood,RR1A_RR1B,present_but_insufficient,present_but_insufficient,present_but_insufficient,missing,present,NEEDS_NEW_FORWARD_PER_SAMPLE_SECOND_MOMENT,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/sft/step_020/E_ood.pt
llama,sft,20,E_ood,RR2S,present,not_required,not_required,not_required,present,READY_REUSE_NO_FORWARD,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/sft/step_020/E_ood.pt
llama,sft,20,E_ood,RR3,present,present,present,not_required,present,READY_REUSE_AFTER_WEIGHTING_AUDIT_NO_FORWARD,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/sft/step_020/E_ood.pt
llama,sft,20,E_if,RR1A_RR1B,present_but_insufficient,present_but_insufficient,present_but_insufficient,missing,present,NEEDS_NEW_FORWARD_PER_SAMPLE_SECOND_MOMENT,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/sft/step_020/E_if.pt
llama,sft,20,E_if,RR2S,present,not_required,not_required,not_required,present,READY_REUSE_NO_FORWARD,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/sft/step_020/E_if.pt
llama,sft,20,E_if,RR3,present,present,present,not_required,present,READY_REUSE_AFTER_WEIGHTING_AUDIT_NO_FORWARD,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/sft/step_020/E_if.pt
llama,sft,40,E_general,RR1A_RR1B,present_but_insufficient,present_but_insufficient,present_but_insufficient,missing,present,NEEDS_NEW_FORWARD_PER_SAMPLE_SECOND_MOMENT,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/sft/step_040/E_general.pt
llama,sft,40,E_general,RR2S,present,not_required,not_required,not_required,present,READY_REUSE_NO_FORWARD,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/sft/step_040/E_general.pt
llama,sft,40,E_general,RR3,present,present,present,not_required,present,READY_REUSE_AFTER_WEIGHTING_AUDIT_NO_FORWARD,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/sft/step_040/E_general.pt
llama,sft,40,E_math,RR1A_RR1B,present_but_insufficient,present_but_insufficient,present_but_insufficient,missing,present,NEEDS_NEW_FORWARD_PER_SAMPLE_SECOND_MOMENT,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/sft/step_040/E_math.pt
llama,sft,40,E_math,RR2S,present,not_required,not_required,not_required,present,READY_REUSE_NO_FORWARD,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/sft/step_040/E_math.pt
llama,sft,40,E_math,RR3,present,present,present,not_required,present,READY_REUSE_AFTER_WEIGHTING_AUDIT_NO_FORWARD,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/sft/step_040/E_math.pt
llama,sft,40,E_ood,RR1A_RR1B,present_but_insufficient,present_but_insufficient,present_but_insufficient,missing,present,NEEDS_NEW_FORWARD_PER_SAMPLE_SECOND_MOMENT,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/sft/step_040/E_ood.pt
llama,sft,40,E_ood,RR2S,present,not_required,not_required,not_required,present,READY_REUSE_NO_FORWARD,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/sft/step_040/E_ood.pt
llama,sft,40,E_ood,RR3,present,present,present,not_required,present,READY_REUSE_AFTER_WEIGHTING_AUDIT_NO_FORWARD,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/sft/step_040/E_ood.pt
llama,sft,40,E_if,RR1A_RR1B,present_but_insufficient,present_but_insufficient,present_but_insufficient,missing,present,NEEDS_NEW_FORWARD_PER_SAMPLE_SECOND_MOMENT,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/sft/step_040/E_if.pt
llama,sft,40,E_if,RR2S,present,not_required,not_required,not_required,present,READY_REUSE_NO_FORWARD,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/sft/step_040/E_if.pt
llama,sft,40,E_if,RR3,present,present,present,not_required,present,READY_REUSE_AFTER_WEIGHTING_AUDIT_NO_FORWARD,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/sft/step_040/E_if.pt
llama,sft,80,E_general,RR1A_RR1B,present_but_insufficient,present_but_insufficient,present_but_insufficient,missing,present,NEEDS_NEW_FORWARD_PER_SAMPLE_SECOND_MOMENT,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/sft/step_080/E_general.pt
llama,sft,80,E_general,RR2S,present,not_required,not_required,not_required,present,READY_REUSE_NO_FORWARD,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/sft/step_080/E_general.pt
llama,sft,80,E_general,RR3,present,present,present,not_required,present,READY_REUSE_AFTER_WEIGHTING_AUDIT_NO_FORWARD,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/sft/step_080/E_general.pt
llama,sft,80,E_math,RR1A_RR1B,present_but_insufficient,present_but_insufficient,present_but_insufficient,missing,present,NEEDS_NEW_FORWARD_PER_SAMPLE_SECOND_MOMENT,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/sft/step_080/E_math.pt
llama,sft,80,E_math,RR2S,present,not_required,not_required,not_required,present,READY_REUSE_NO_FORWARD,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/sft/step_080/E_math.pt
llama,sft,80,E_math,RR3,present,present,present,not_required,present,READY_REUSE_AFTER_WEIGHTING_AUDIT_NO_FORWARD,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/sft/step_080/E_math.pt
llama,sft,80,E_ood,RR1A_RR1B,present_but_insufficient,present_but_insufficient,present_but_insufficient,missing,present,NEEDS_NEW_FORWARD_PER_SAMPLE_SECOND_MOMENT,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/sft/step_080/E_ood.pt
llama,sft,80,E_ood,RR2S,present,not_required,not_required,not_required,present,READY_REUSE_NO_FORWARD,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/sft/step_080/E_ood.pt
llama,sft,80,E_ood,RR3,present,present,present,not_required,present,READY_REUSE_AFTER_WEIGHTING_AUDIT_NO_FORWARD,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/sft/step_080/E_ood.pt
llama,sft,80,E_if,RR1A_RR1B,present_but_insufficient,present_but_insufficient,present_but_insufficient,missing,present,NEEDS_NEW_FORWARD_PER_SAMPLE_SECOND_MOMENT,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/sft/step_080/E_if.pt
llama,sft,80,E_if,RR2S,present,not_required,not_required,not_required,present,READY_REUSE_NO_FORWARD,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/sft/step_080/E_if.pt
llama,sft,80,E_if,RR3,present,present,present,not_required,present,READY_REUSE_AFTER_WEIGHTING_AUDIT_NO_FORWARD,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/sft/step_080/E_if.pt
llama,offkd,20,E_general,RR1A_RR1B,present_but_insufficient,present_but_insufficient,present_but_insufficient,missing,present,NEEDS_NEW_FORWARD_PER_SAMPLE_SECOND_MOMENT,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/offkd/step_020/E_general.pt
llama,offkd,20,E_general,RR2S,present,not_required,not_required,not_required,present,READY_REUSE_NO_FORWARD,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/offkd/step_020/E_general.pt
llama,offkd,20,E_general,RR3,present,present,present,not_required,present,READY_REUSE_AFTER_WEIGHTING_AUDIT_NO_FORWARD,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/offkd/step_020/E_general.pt
llama,offkd,20,E_math,RR1A_RR1B,present_but_insufficient,present_but_insufficient,present_but_insufficient,missing,present,NEEDS_NEW_FORWARD_PER_SAMPLE_SECOND_MOMENT,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/offkd/step_020/E_math.pt
llama,offkd,20,E_math,RR2S,present,not_required,not_required,not_required,present,READY_REUSE_NO_FORWARD,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/offkd/step_020/E_math.pt
llama,offkd,20,E_math,RR3,present,present,present,not_required,present,READY_REUSE_AFTER_WEIGHTING_AUDIT_NO_FORWARD,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/offkd/step_020/E_math.pt
llama,offkd,20,E_ood,RR1A_RR1B,present_but_insufficient,present_but_insufficient,present_but_insufficient,missing,present,NEEDS_NEW_FORWARD_PER_SAMPLE_SECOND_MOMENT,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/offkd/step_020/E_ood.pt
llama,offkd,20,E_ood,RR2S,present,not_required,not_required,not_required,present,READY_REUSE_NO_FORWARD,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/offkd/step_020/E_ood.pt
llama,offkd,20,E_ood,RR3,present,present,present,not_required,present,READY_REUSE_AFTER_WEIGHTING_AUDIT_NO_FORWARD,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/offkd/step_020/E_ood.pt
llama,offkd,20,E_if,RR1A_RR1B,present_but_insufficient,present_but_insufficient,present_but_insufficient,missing,present,NEEDS_NEW_FORWARD_PER_SAMPLE_SECOND_MOMENT,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/offkd/step_020/E_if.pt
llama,offkd,20,E_if,RR2S,present,not_required,not_required,not_required,present,READY_REUSE_NO_FORWARD,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/offkd/step_020/E_if.pt
llama,offkd,20,E_if,RR3,present,present,present,not_required,present,READY_REUSE_AFTER_WEIGHTING_AUDIT_NO_FORWARD,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/offkd/step_020/E_if.pt
llama,offkd,40,E_general,RR1A_RR1B,present_but_insufficient,present_but_insufficient,present_but_insufficient,missing,present,NEEDS_NEW_FORWARD_PER_SAMPLE_SECOND_MOMENT,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/offkd/step_040/E_general.pt
llama,offkd,40,E_general,RR2S,present,not_required,not_required,not_required,present,READY_REUSE_NO_FORWARD,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/offkd/step_040/E_general.pt
llama,offkd,40,E_general,RR3,present,present,present,not_required,present,READY_REUSE_AFTER_WEIGHTING_AUDIT_NO_FORWARD,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/offkd/step_040/E_general.pt
llama,offkd,40,E_math,RR1A_RR1B,present_but_insufficient,present_but_insufficient,present_but_insufficient,missing,present,NEEDS_NEW_FORWARD_PER_SAMPLE_SECOND_MOMENT,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/offkd/step_040/E_math.pt
llama,offkd,40,E_math,RR2S,present,not_required,not_required,not_required,present,READY_REUSE_NO_FORWARD,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/offkd/step_040/E_math.pt
llama,offkd,40,E_math,RR3,present,present,present,not_required,present,READY_REUSE_AFTER_WEIGHTING_AUDIT_NO_FORWARD,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/offkd/step_040/E_math.pt
llama,offkd,40,E_ood,RR1A_RR1B,present_but_insufficient,present_but_insufficient,present_but_insufficient,missing,present,NEEDS_NEW_FORWARD_PER_SAMPLE_SECOND_MOMENT,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/offkd/step_040/E_ood.pt
llama,offkd,40,E_ood,RR2S,present,not_required,not_required,not_required,present,READY_REUSE_NO_FORWARD,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/offkd/step_040/E_ood.pt
llama,offkd,40,E_ood,RR3,present,present,present,not_required,present,READY_REUSE_AFTER_WEIGHTING_AUDIT_NO_FORWARD,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/offkd/step_040/E_ood.pt
llama,offkd,40,E_if,RR1A_RR1B,present_but_insufficient,present_but_insufficient,present_but_insufficient,missing,present,NEEDS_NEW_FORWARD_PER_SAMPLE_SECOND_MOMENT,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/offkd/step_040/E_if.pt
llama,offkd,40,E_if,RR2S,present,not_required,not_required,not_required,present,READY_REUSE_NO_FORWARD,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/offkd/step_040/E_if.pt
llama,offkd,40,E_if,RR3,present,present,present,not_required,present,READY_REUSE_AFTER_WEIGHTING_AUDIT_NO_FORWARD,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/offkd/step_040/E_if.pt
llama,offkd,80,E_general,RR1A_RR1B,present_but_insufficient,present_but_insufficient,present_but_insufficient,missing,present,NEEDS_NEW_FORWARD_PER_SAMPLE_SECOND_MOMENT,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/offkd/step_080/E_general.pt
llama,offkd,80,E_general,RR2S,present,not_required,not_required,not_required,present,READY_REUSE_NO_FORWARD,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/offkd/step_080/E_general.pt
llama,offkd,80,E_general,RR3,present,present,present,not_required,present,READY_REUSE_AFTER_WEIGHTING_AUDIT_NO_FORWARD,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/offkd/step_080/E_general.pt
llama,offkd,80,E_math,RR1A_RR1B,present_but_insufficient,present_but_insufficient,present_but_insufficient,missing,present,NEEDS_NEW_FORWARD_PER_SAMPLE_SECOND_MOMENT,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/offkd/step_080/E_math.pt
llama,offkd,80,E_math,RR2S,present,not_required,not_required,not_required,present,READY_REUSE_NO_FORWARD,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/offkd/step_080/E_math.pt
llama,offkd,80,E_math,RR3,present,present,present,not_required,present,READY_REUSE_AFTER_WEIGHTING_AUDIT_NO_FORWARD,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/offkd/step_080/E_math.pt
llama,offkd,80,E_ood,RR1A_RR1B,present_but_insufficient,present_but_insufficient,present_but_insufficient,missing,present,NEEDS_NEW_FORWARD_PER_SAMPLE_SECOND_MOMENT,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/offkd/step_080/E_ood.pt
llama,offkd,80,E_ood,RR2S,present,not_required,not_required,not_required,present,READY_REUSE_NO_FORWARD,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/offkd/step_080/E_ood.pt
llama,offkd,80,E_ood,RR3,present,present,present,not_required,present,READY_REUSE_AFTER_WEIGHTING_AUDIT_NO_FORWARD,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/offkd/step_080/E_ood.pt
llama,offkd,80,E_if,RR1A_RR1B,present_but_insufficient,present_but_insufficient,present_but_insufficient,missing,present,NEEDS_NEW_FORWARD_PER_SAMPLE_SECOND_MOMENT,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/offkd/step_080/E_if.pt
